Locality,Country,lat,long,alt,AcLi,Acli,acLi,acli,no_AcLi,no_Acli,no_acLi,no_acli,no_plants,AcAc,Acac,acac,LiLi,Lili,lili,freqAc,freqLi,freqHCN,Continent,ID,Collector
Hohenheim,Germany,48.711037,9.211689,385,60.1,25.3,8.9,5.7,94.958,39.974,14.062,9.006,158,0.382,0.472,0.146,0.197,0.493,0.31,0.617900537,0.443223564,0.601,Europe,195,daday
Schessel,Germany,53.168461,9.484341,33,8.3,0,25,66.7,1.992,0,6,16.008,24,0.001,0.082,0.917,0.033,0.3,0.667,0.04239883,0.18329932,0.083,Europe,196,daday
Straubing,Germany,48.877199,12.576328,328,8.3,1.1,10.4,80.2,7.968,1.056,9.984,76.992,96,0.002,0.092,0.906,0.01,0.178,0.812,0.048159677,0.098334874,0.083,Europe,197,daday
Budapest,Hungary,47.490874,19.042481,112,1.5,0.8,9.2,88.5,1.965,1.048,12.052,115.935,131,0.0001,0.0228,0.9771,0.003,0.104,0.893,0.011566897,0.055013228,0.015,Europe,198,daday
Magyarovar,Hungary,47.881828,17.266067,118,1.2,2.4,96.4,,0.996,1.992,80.012,0,83,,,,,,,0.018164983,0.845080666,0.012,Europe,199,daday
Milan,Italy,45.468443,9.184505,123,1.8,1.7,15.8,80.7,3.078,2.907,27.018,137.997,171,0.0004,0.0347,0.9649,0.008,0.167,0.825,0.017655865,0.092255543,0.018,Europe,200,daday
San Daniele del Friuli,Italy,46.157223,13.009784,219,1.2,5,12.4,81.4,1.932,8.05,19.964,131.054,161,0.001,0.061,0.938,0.005,0.132,0.863,0.031495999,0.070483997,0.012,Europe,201,daday
Schaanwald,Liechtenstein,47.211188,9.562071,458,28.7,34.5,23,13.8,24.969,30.015,20.01,12.006,87,0.155,0.477,0.368,0.093,0.424,0.483,0.393369964,0.305017986,0.287,Europe,202,daday
Breda,Netherlands,51.583532,4.773546,5,27.5,25.7,26.6,20.2,29.975,28.013,28.994,22.018,109,0.1,0.432,0.468,0.104,0.437,0.459,0.315894745,0.322504613,0.275,Europe,203,daday
Groningen,Netherlands,53.216728,6.566738,11,0,17.7,9.7,72.6,0,10.974,6.014,45.012,62,0.009,0.169,0.822,0.003,0.094,0.903,0.092806526,0.049736879,0,Europe,204,daday
Koscian,Poland,52.08131,16.640308,70,3,1,5,91,3,1,5,91,100,0.0004,0.0396,0.96,0.002,0.078,0.92,0.020204103,0.040833695,0.03,Europe,205,daday
La Coruna,Spain,43.360488,-8.411772,47,95.5,4.5,0,0,84.995,4.005,0,0,89,1,0,0,0.621,0.334,0.045,1,0.787867966,0.955,Europe,206,daday
Girona,Spain,41.977685,2.820965,73,87.7,12.3,0,0,64.021,8.979,0,0,73,1,0,0,0.421,0.456,0.123,1,0.649286442,0.877,Europe,207,daday
Granada,Spain,37.175473,-3.598169,695,100,0,0,0,112,0,0,0,112,1,0,0,1,0,0,1,1,1,Europe,208,daday
Lulea,Sweden,65.583233,22.15663,5,0,,,100,0,0,0,69,69,,,,,,,0,0,0,Europe,209,daday
Stockholm,Sweden,59.32789,18.068726,20,1.7,,,98.3,1.003,0,0,57.997,59,,,,,,,0.008536435,0.008536435,0.017,Europe,210,daday
Lausanne,Switzerland,46.51852,6.631984,482,70.6,15.2,10.9,3.3,129.904,27.968,20.056,6.072,184,0.39,0.469,0.141,0.325,0.49,0.185,0.623171126,0.569883737,0.706,Europe,211,daday
Zurich,Switzerland,47.372895,8.541145,428,48.8,25.6,12.2,13.4,40.016,20.992,10.004,10.988,82,0.244,0.5,0.256,0.181,0.429,0.39,0.494035574,0.3755002,0.488,Europe,212,daday
Almora,India,29.588671,79.646654,1664,0.846846847,0.045045045,0.081081081,0.027027027,94,5,9,3,111,,,,,,,0.671202025,0.731537578,0.846846847,Europe,213,daday
Karaj River area,Iran,35.760413,51.029476,1270,0.643312102,0.356687898,0,0,101,56,0,0,157,,,,,,,1,0.402766463,0.643312102,Europe,214,daday
Turgatuj Baikal Region,USSR,53.763665,107.658777,1146,0,,,1,0,,,68,68,,,,,,,0,0,0,Asia,215,daday
Novosibirsk,USSR,55.001037,82.935279,86,0,,,1,0,,,58,58,,,,,,,0,0,0,Asia,216,daday
Miyazaki,Japan,31.90806,131.420672,2,0.108843537,0.163265306,0.231292517,0.496598639,16,24,34,73,147,,,,,,,0.146834625,0.1876799,0.108843537,Asia,217,daday
Kochi,Japan,33.560235,133.529258,7,0.424242424,0.348484848,0.106060606,0.121212121,56,46,14,16,132,,,,,,,0.523268705,0.314655583,0.424242424,Asia,218,daday
