ID,Locality,lat,long,freqHCN,freqAc,freqLi,Mean winter temp.,N,Time sampled,Country,Continent,Hemisphere,Data provenance,Year of collection
135,Troyes,48.410754,4.144326,0.28888888888888886,0.3502137103460691,0.26970325665977857,3.8799999713897706,45,Contemporary,France,Europe,North,Present study,2018
138,Auxerre,47.85098,3.605826,0.6060606060606061,0.8259223440443022,0.37235408553915217,4.100000119209289,33,Contemporary,France,Europe,North,Present study,2018
140,Nevers,47.088688,3.087417,0.725,0.841886116991581,0.5,3.920000159740448,40,Contemporary,France,Europe,North,Present study,2018
142,Chateau-Chinon,47.040579,4.00903,0.475,0.4083920216900384,0.429912287450431,2.38000009059906,40,Contemporary,France,Europe,North,Present study,2018
144,Autun,46.940413,4.309688,1,1,1,2.860000042617321,9,Contemporary,France,Europe,North,Present study,2018
146,Beaune,47.073542,4.892232,0.65,0.683772233983162,0.4755955759149242,2.7600001215934755,40,Contemporary,France,Europe,North,Present study,2018
149,Dijon,47.236496,4.984809,0.358974358974359,0.4936303164581667,0.2566080583249718,2.7600001215934755,39,Contemporary,France,Europe,North,Present study,2018
150,Lyon,45.902687,4.728565,0.2608695652173913,0.5337475958798431,0.27768488148538484,3.1400001406669618,23,Contemporary,France,Europe,North,Present study,2018
154,Clermont-Ferrand,45.660379,3.15217,0.6222222222222222,0.6348516283298893,0.40371520600005606,3.400000011920929,45,Contemporary,France,Europe,North,Present study,2018
88,Scheessel,53.20681,9.53416,0.08333333333333333,0.25,0.06458565330651467,1.4600000500679016,48,Contemporary,Germany,Europe,North,Present study,2018
100,Straubing,48.870563,12.56462,0.4523809523809524,0.4023856953328032,0.38278660015163235,-0.819999971985817,42,Contemporary,Germany,Europe,North,Present study,2018
101,Straubing,48.880591,12.542115,0.5,0.2928932188134524,0.2928932188134524,-0.819999971985817,12,Contemporary,Germany,Europe,North,Present study,2018
122,Hohenheim,48.726018,9.212016,0.8541666666666666,0.7958758547680684,0.6772513878160487,1.0399999856948852,48,Contemporary,Germany,Europe,North,Present study,2018
124,Frankfurt,50.126301,8.662256,0.08888888888888889,0.33333333333333337,0.08106341652731852,1.1600000023841859,45,Contemporary,Germany,Europe,North,Present study,2018
126,Giessen,50.589361,8.68313,0.06666666666666667,0.2254033307585166,0.033908216920704115,0.7599999994039536,15,Contemporary,Germany,Europe,North,Present study,2018
127,Cologne,50.951822,7.31839,0.3783783783783784,0.5,0.2546440075000701,2.660000038146973,37,Contemporary,Germany,Europe,North,Present study,2018
105,Mosonmagyarovar,47.859637,17.270232,0.025,0.012579117093425074,0.012579117093425074,0.23999993354082108,40,Contemporary,Hungary,Europe,North,Present study,2018
108,San Daniele del Fruili,46.143203,13.050528,0,0,0,-0.12000002115964889,25,Contemporary,Italy,Europe,North,Present study,2018
110,Milan,45.517448,9.162487,0.3023255813953488,0.3352741428857464,0.17877006590653144,2.4799999833106994,43,Contemporary,Italy,Europe,North,Present study,2018
119,Schaanwald,47.212149,9.563405,0.3,0.3291796067500631,0.2928932188134524,-1.6200000047683716,40,Contemporary,Liechtenstein,Europe,North,Present study,2018
82,Breda,51.56873,4.76064,0.275,0.2254033307585166,0.31079756239548895,4.140000104904175,40,Contemporary,Netherlands,Europe,North,Present study,2018
84,Groningen,53.03032,6.02198,0.020833333333333332,0.32299679961367,0.031754163448145745,2.940000033378601,48,Contemporary,Netherlands,Europe,North,Present study,2018
